"cups_code","cups_name","cups_description","cups_sex","cups_years_start","cups_years_end","cups_iss","cups_soat","cups_particular","cups_other","cups_file","cups_state","cups_ot_type"
"123100","LISIS DE SINEQUIAS ANTERIORES DE OJO SOD",,,,,"0","0","0","0",,,"0"
"123101","LISIS DE GONIOSINEQUIAS POR INYECCION DE AIRE O LIQUIDO",,,,,"0","0","0","0",,,"0"
"123300","LISIS DE SINEQUIAS POSTERIORES SOD",,,,,"0","0","0","0",,,"0"
"123400","REPARACION O SUTURA DE IRIDODIALISIS SOD",,,,,"0","0","0","0",,,"0"
"123500","COREOPLASTIA (PUPILOPLASTIA) SOD",,,,,"0","0","0","0",,,"0"
"123701","REPARACION DE COLOBOMA DEL IRIS",,,,,"0","0","0","0",,,"0"
"12400","CRANEOTOMIA (DESCOMPRESIVA/EXPLORATORIA) SOD",,,,,"0","0","0","0",,,"0"
"12401","DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"12402","DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"12410","EXTRACCION DE CUERPO EXTRA?O INTRACRANEAL, POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"124101","ABLACION DE LESION DE IRIS POR CAUTERIZACION, CRIOTERAPIA O FOTOCOAGULACION (LASER)",,,,,"0","0","0","0",,,"0"
"124200","ESCISION DE LESION DE IRIS SOD",,,,,"0","0","0","0",,,"0"
"124201","RESECCION DE TUMOR DE IRIS",,,,,"0","0","0","0",,,"0"
"124301","ABLACION DE LESION DE CUERPO CILIAR POR CAUTERIZACION, CRIOTERAPIA O FOTOCOAGULACION (LASER)",,,,,"0","0","0","0",,,"0"
"124400","ESCISION DE LESION DE CUERPO CILIAR SOD",,,,,"0","0","0","0",,,"0"
"124401","RESECCION DE TUMOR DE CUERPO CILIAR",,,,,"0","0","0","0",,,"0"
"124402","IRIDOCICLECTOMIA",,,,,"0","0","0","0",,,"0"
"12500","CRANIECTOMIA SOD",,,,,"0","0","0","0",,,"0"
"12501","SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA",,,,,"0","0","0","0",,,"0"
"12502","DRENAJE DE COLECCION EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA",,,,,"0","0","0","0",,,"0"
"12503","DRENAJE DE COLECCION EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA",,,,,"0","0","0","0",,,"0"
"125100","GONIOTOMIA SOD",,,,,"0","0","0","0",,,"0"
"125400","TRABECULOTOMIA SOD",,,,,"0","0","0","0",,,"0"
"125500","CICLODIALISIS SOD",,,,,"0","0","0","0",,,"0"
"126400","TRABECULECTOMIA PRIMARIA SOD",,,,,"0","0","0","0",,,"0"
"126401","TRABECULECTOMIA SECUNDARIA (CON CIRUGIA OCULAR PREVIA)",,,,,"0","0","0","0",,,"0"
"126600","REVISION POSTOPERATORIA DE PROCEDIMIENTO DE FISTULIZACION ESCLERAL SOD",,,,,"0","0","0","0",,,"0"
"126601","REVISION DE AMPOLLA FILTRANTE CON AGUJA",,,,,"0","0","0","0",,,"0"
"126603","SUTUROLISIS SUBCONJUNTIVAL DE FLAP ESCLERAL CON LASER",,,,,"0","0","0","0",,,"0"
"126604","OBSTRUCCION DE VENTANA FILTRANTE CON LASER",,,,,"0","0","0","0",,,"0"
"126700","INSERCION DE IMPLANTE PARA GLAUCOMA SOD",,,,,"0","0","0","0",,,"0"
"126705","REVISION ANTERIOR DE TUBO DE IMPLANTE",,,,,"0","0","0","0",,,"0"
"127500","TRABECULOPLASTIA SOD",,,,,"0","0","0","0",,,"0"
"127501","TRABECULOPLASTIA CON LASER",,,,,"0","0","0","0",,,"0"
"128100","SUTURA DE LA ESCLERA (ESCLERORRAFIA) SOD",,,,,"0","0","0","0",,,"0"
"128200","REPARACION DE FISTULA ESCLERAL (AMPOLLA FILTRANTE) SOD",,,,,"0","0","0","0",,,"0"
"128401","RESECCION DE TUMOR DE LA ESCLEROTICA, VIA ABIERTA",,,,,"0","0","0","0",,,"0"
"128402","RESECCION DE TUMOR DE LA ESCLEROTICA, POR DIATERMIA O CRIOTERAPIA",,,,,"0","0","0","0",,,"0"
"128403","RESECCION DE TUMOR DE LA ESCLEROTICA, POR FOTOCOAGULACION (LASER)",,,,,"0","0","0","0",,,"0"
"128800","PLASTIAS EN ESCLERA (ESCLEROPLASTIA) SOD",,,,,"0","0","0","0",,,"0"
"129100","PARACENTESIS TERAPEUTICA DE CAMARA ANTERIOR DEL OJO SOD",,,,,"0","0","0","0",,,"0"
"13100","INCISION DE MENINGES CEREBRALES SOD",,,,,"0","0","0","0",,,"0"
"13101","DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"13102","DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION",,,,,"0","0","0","0",,,"0"
"13103","DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA",,,,,"0","0","0","0",,,"0"
"13104","DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO",,,,,"0","0","0","0",,,"0"
"13105","DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACION CISTO PERITONEAL",,,,,"0","0","0","0",,,"0"
"13106","DRENAJE DE ESPACIO SUBDURAL, POR DERIVACION SUBDURO PERITONEAL",,,,,"0","0","0","0",,,"0"
"13110","DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS",,,,,"0","0","0","0",,,"0"
"131100","EXTRACCION INTRACAPSULAR DE CRISTALINO SOD",,,,,"0","0","0","0",,,"0"
"13200","SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) SOD",,,,,"0","0","0","0",,,"0"
"13201","SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR ABLACION [TERMOLESION] ESTEREOTAXICA",,,,,"0","0","0","0",,,"0"
"13202","SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES), POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"132100","EXTRACCION EXTRACAPSULAR DE CRISTALINO POR TECNICA CONVENCIONAL SOD",,,,,"0","0","0","0",,,"0"
"132200","EXTRACCION EXTRACAPSULAR DE CRISTALINO POR ASPIRACION SOD",,,,,"0","0","0","0",,,"0"
"132300","EXTRACCION EXTRACAPSULAR DE CRISTALINO POR FACOEMULSIFICACION SOD",,,,,"0","0","0","0",,,"0"
"132400","EXTRACCION EXTRACAPSULAR DE CRISTALINO EN PRESENCIA DE AMPOLLA FILTRANTE PREVIA SOD",,,,,"0","0","0","0",,,"0"
"136400","DISECCION DE MEMBRANA SECUNDARIA (DESPUES DE CATARATA) SOD",,,,,"0","0","0","0",,,"0"
"136500","ESCISION DE MEMBRANA SECUNDARIA SOD",,,,,"0","0","0","0",,,"0"
"136501","CAPSULOTOMIA",,,,,"0","0","0","0",,,"0"
"136502","CAPSULOTOMIA CON LASER",,,,,"0","0","0","0",,,"0"
"136600","FRAGMENTACION MECANICA DE MEMBRANA SECUNDARIA (DESPUES DE CATARATA) SOD",,,,,"0","0","0","0",,,"0"
"137100","EXTRACCION EXTRACAPSULAR DE CRISTALINO CON IMPLANTE DE LENTE INTRAOCULAR SUTURADO SOD",,,,,"0","0","0","0",,,"0"
"137200","IMPLANTE DE LENTE INTRAOCULAR SECUNDARIO SOD",,,,,"0","0","0","0",,,"0"
"138100","EXTRACCION DE LENTE INTRAOCULAR (PSEUDOCRISTALINO) SOD",,,,,"0","0","0","0",,,"0"
"140000","EXTRACCION DE CUERPO EXTRA?O DEL SEGMENTO POSTERIOR DEL OJO SOD",,,,,"0","0","0","0",,,"0"
"14101","TALAMOTOMIA POR ESTEREOTAXIA [ESTIMULACION Y/O ABLACION DE UNO DE SUS NUCLEOS]",,,,,"0","0","0","0",,,"0"
"141100","ASPIRACION DIAGNOSTICA DE VITREO SOD",,,,,"0","0","0","0",,,"0"
"141101","ASPIRACION DIAGNOSTICA DE VITREO CON INYECCION DE MEDICAMENTOS INTRAVITREOS",,,,,"0","0","0","0",,,"0"
"14201","PALIDOTOMIA POR ESTEREOTAXIA",,,,,"0","0","0","0",,,"0"
"142101","ABLACION DE LESION CORIORRETINAL, POR DIATERMIA O CRIOTERAPIA",,,,,"0","0","0","0",,,"0"
"142300","ABLACION DE LESION CORIORRETINAL, POR FOTOCOAGULACION (LASER) SOD",,,,,"0","0","0","0",,,"0"
"142600","ABLACION DE LESION CORIORRETINAL, POR RADIACION SOD",,,,,"0","0","0","0",,,"0"
"143101","REPARACION DE DESGARRO RETINAL (RETINOPEXIA) POR DIATERMIA O CRIOTERAPIA",,,,,"0","0","0","0",,,"0"
"143300","REPARACION DE DESGARRO RETINAL POR FOTOCOAGULACION (LASER) SOD",,,,,"0","0","0","0",,,"0"
"144100","REPARACION DE DESPRENDIMIENTO DE RETINA CON IDENTACION ESCLERAL E IMPLANTACION SOD",,,,,"0","0","0","0",,,"0"
"144101","IDENTACION ESCLERAL CON IMPLANTACION Y CRIOTERAPIA",,,,,"0","0","0","0",,,"0"
"144102","IDENTACION ESCLERAL CON IMPLANTACION, TAMPONAMIENTO INTERNO CON GAS (NEUMORRETINOPEXIA) Y CRIOTERAPIA",,,,,"0","0","0","0",,,"0"
"144103","IDENTACION ESCLERAL CON IMPLANTACION, TAMPONAMIENTO INTERNO CON GAS (NEUMORRETINOPEXIA) Y FOTOCOAGULACION (LASER)",,,,,"0","0","0","0",,,"0"
"145100","REPARACION DE DESPRENDIMIENTO DE RETINA SOD",,,,,"0","0","0","0",,,"0"
"145101","REPARACION DE DESPRENDIMIENTO DE RETINA, CON DIATERMIA O CRIOTERAPIA",,,,,"0","0","0","0",,,"0"
"145300","REPARACION DE DESPRENDIMIENTO DE RETINA, CON FOTOCOAGULA-CION (LASER) SOD",,,,,"0","0","0","0",,,"0"
"146100","RETIRO DE MATERIAL IMPLANTADO DEL SEGMENTO POSTERIOR DE OJO SOD",,,,,"0","0","0","0",,,"0"
"146101","RETIRO DE ACEITE DE SILICON O DE GAS",,,,,"0","0","0","0",,,"0"
"146102","RETIRO DE ACEITE DE SILICON CON PELAJE DE MEMBRANAS GAS Y ENDOLASER",,,,,"0","0","0","0",,,"0"
"147100","VITRECTOMIA VIA ANTERIOR SOD",,,,,"0","0","0","0",,,"0"
"147300","VITRECTOMIA MECANICA SOD",,,,,"0","0","0","0",,,"0"
"147301","VITRECTOMIA VIA ANTERIOR CON VITRIOFAGO",,,,,"0","0","0","0",,,"0"
"147400","VITRECTOMIA VIA POSTERIOR SOD < O:P>",,,,,"0","0","0","0",,,"0"
"147401","VITRECTOMIA VIA POSTERIOR CON INSERCION DE SILICON O GASES",,,,,"0","0","0","0",,,"0"
"147402","VITRECTOMIA VIA POSTERIOR CON RETINOPEXIA",,,,,"0","0","0","0",,,"0"
"147403","VITRECTOMIA VIA POSTERIOR CON ENDOLASER",,,,,"0","0","0","0",,,"0"
"150100","BIOPSIA DE MUSCULO O TENDON EXTRAOCULAR SOD",,,,,"0","0","0","0",,,"0"
"15100","ESCISION DE LESION CRANEAL SOD",,,,,"0","0","0","0",,,"0"
"15101","RESECCION TUMOR OSEO, POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"15102","RESECCION TUMOR OSEO, POR CRANIECTOMIA",,,,,"0","0","0","0",,,"0"
"15104","CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA",,,,,"0","0","0","0",,,"0"
"15200","RESECCION DE TUMORES DE LA BASE DEL CRANEO, FOSA ANTERIOR SOD",,,,,"0","0","0","0",,,"0"
"15201","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA CRANEOFACIAL ANTERIOR",,,,,"0","0","0","0",,,"0"
"15202","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA CRANEOFACIAL ANTEROLATERAL",,,,,"0","0","0","0",,,"0"
"15203","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA ANTEROLATERAL Y RINOTOMIA LATERAL",,,,,"0","0","0","0",,,"0"
"15204","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA TRANSZIGOMATICA Y TRANSPALATAL",,,,,"0","0","0","0",,,"0"
"152100","PROCEDIMIENTO DE ALARGAMIENTO EN UN MUSCULO EXTRAOCULAR SOD",,,,,"0","0","0","0",,,"0"
"152200","PROCEDIMIENTO DE ACORTAMIENTO EN UN MUSCULO EXTRAOCULAR SOD",,,,,"0","0","0","0",,,"0"
"15300","RESECCION DE TUMORES DE LA BASE DEL CRANEO, FOSA MEDIA SOD",,,,,"0","0","0","0",,,"0"
"15301","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL",,,,,"0","0","0","0",,,"0"
"15302","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR ABORDAJE TRANSMAXILAR",,,,,"0","0","0","0",,,"0"
"15304","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA",,,,,"0","0","0","0",,,"0"
"15305","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, VIA SUBFRONTAL EXTENDIDA",,,,,"0","0","0","0",,,"0"
"15306","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, VIA SUBTEMPORAL",,,,,"0","0","0","0",,,"0"
"15307","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA",,,,,"0","0","0","0",,,"0"
"15308","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, VIA SUBFRONTAL",,,,,"0","0","0","0",,,"0"
"15309","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR ORBITOTOMIA LATERAL",,,,,"0","0","0","0",,,"0"
"15310","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, VIA TRANSESFENOIDAL",,,,,"0","0","0","0",,,"0"
"15311","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, VIA TRANSESFENOIDAL ENDOSCOPICA",,,,,"0","0","0","0",,,"0"
"15400","RESECCION DE TUMORES DE LA BASE DEL CRANEO, FOSA POSTERIOR SOD",,,,,"0","0","0","0",,,"0"
"15401","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VIA EXTREMO LATERAL",,,,,"0","0","0","0",,,"0"
"15402","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VIA FRONTO ORBITO ETMOIDAL",,,,,"0","0","0","0",,,"0"
"15403","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VIA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR",,,,,"0","0","0","0",,,"0"
"15404","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VIA TRANSORAL",,,,,"0","0","0","0",,,"0"
"15405","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VIA MAXILOTOMIA EXTENDIDA",,,,,"0","0","0","0",,,"0"
"15406","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VIA TRANSLABERINTICA",,,,,"0","0","0","0",,,"0"
"15407","ESCISION DE LESION CON SALPINGECTOMIA PARCIAL, POR LAPAROSCOPIA",,,,,"0","0","0","0",,,"0"
"15408","RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VIA FOSA MEDIA",,,,,"0","0","0","0",,,"0"
"15409","HISTERECTOMIA RADICAL POR LAPAROSCOPIA",,,,,"0","0","0","0",,,"0"
"154101","REINSERCION O RETROINSERCION DE MUSCULOS RECTOS (UNO O DOS) +",,,,,"0","0","0","0",,,"0"
"154102","REINSERCION O RETROINSERCION DE MUSCULOS OBLICUOS (UNO O DOS)",,,,,"0","0","0","0",,,"0"
"154103","REINSERCION O RETROINSERCION DE MUSCULOS RECTO Y OBLICUO",,,,,"0","0","0","0",,,"0"
"15501","TOMA DE INJERTO OSEO DE CRANEO",,,,,"0","0","0","0",,,"0"
"155100","TRANSPOSICION DE MUSCULOS EXTRAOCULARES SOD",,,,,"0","0","0","0",,,"0"
"160100","ORBITOTOMIA CON COLGAJO OSEO SOD",,,,,"0","0","0","0",,,"0"
"160200","ORBITOTOMIA CON INSERCION DE IMPLANTE ORBITAL SOD",,,,,"0","0","0","0",,,"0"
"16100","RESECCION DE TUMORES EN MENINGES CEREBRALES SOD",,,,,"0","0","0","0",,,"0"
"16101","RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"16102","RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMIA CON DUROPLASTIA Y CRANEOPLASTIA",,,,,"0","0","0","0",,,"0"
"161100","EXTRACCION DE CUERPO EXTRA?O DE ORBITA SOD",,,,,"0","0","0","0",,,"0"
"16200","RESECCION TUMORES DE LA HOZ SOD",,,,,"0","0","0","0",,,"0"
"16201","RESECCION TUMOR DE LA HOZ, POR CRANEOTOMIA Y PLASTIA",,,,,"0","0","0","0",,,"0"
"162200","ASPIRACION DIAGNOSTICA DE ORBITA SOD",,,,,"0","0","0","0",,,"0"
"162300","BIOPSIA DE PARED DE ORBITA SOD",,,,,"0","0","0","0",,,"0"
"16300","RESECCION TUMORES DEL TENTORIO SOD",,,,,"0","0","0","0",,,"0"
"16301","RESECCION TUMOR DEL TENTORIO, POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"163100","EVISCERACION DEL GLOBO OCULAR CON IMPLANTE SOD",,,,,"0","0","0","0",,,"0"
"16400","RESECCION DE OTRA LESION DE MENINGE CEREBRAL SOD",,,,,"0","0","0","0",,,"0"
"16401","DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA",,,,,"0","0","0","0",,,"0"
"164100","ENUCLEACION CON O SIN IMPLANTE PROTESICO SOD",,,,,"0","0","0","0",,,"0"
