"cie_code","cie_name","cie_sex","cie_limi","cie_limf","cie_mortality"
"A062","COLITIS AMEBIANA NO DISENTERICA","A","0","0","1"
"A063","AMEBOMA INTESTINAL","A","0","0","1"
"A064","ABSCESO AMEBIANO DEL HIGADO","A","0","0","1"
"A065","ABSCESO AMEBIANO DEL PULMON (J99.8*)","A","0","0","1"
"A066","ABSCESO AMEBIANO DEL CEREBRO (G07*)","A","0","0","1"
"A067","AMEBIASIS CUTANEA","A","0","0","1"
"A068","INFECCION AMEBIANA DE OTRAS LOCALIZACIONES","A","0","0","1"
"A069","AMEBIASIS, NO ESPECIFICADA","A","0","0","1"
"A070","BALANTIDIASIS","A","0","0","1"
"A071","GIARDIASIS [LAMBLIASIS]","A","0","0","1"
"A072","CRIPTOSPORIDIOSIS","A","0","0","1"
"A073","ISOSPORIASIS","A","0","0","1"
"A078","OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS","A","0","0","1"
"A079","ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA","A","0","0","1"
"A080","ENTERITIS DEBIDA A ROTAVIRUS","A","0","0","1"
"A081","GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK","A","0","0","1"
"A082","ENTERITIS DEBIDA A ADENOVIRUS","A","0","0","1"
"A083","OTRAS ENTERITIS VIRALES","A","0","0","1"
"A084","INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION","A","0","0","1"
"A085","OTRAS INFECCIONES INTESTINALES ESPECIFICADAS","A","0","0","1"
"A09X","DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO","A","0","0","1"
"A150","TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO","A","228","599","2"
"A151","TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO","A","228","599","2"
"A152","TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE","A","228","599","2"
"A153","TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS","A","228","599","2"
"A154","TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","A","228","599","2"
"A155","TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","A","228","599","2"
"A156","PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","A","228","599","2"
"A157","TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","A","0","0","2"
"A158","OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE","A","228","599","2"
"A159","TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE","A","228","599","2"
"A160","TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS","A","228","599","2"
"A161","TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO","A","228","599","2"
"A162","TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","A","228","599","2"
"A163","TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","A","228","599","2"
"A164","TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","A","228","599","2"
"A165","PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA","A","228","599","2"
"A167","TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA","A","228","599","2"
"A168","OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION","A","228","599","2"
"A169","TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","A","228","599","2"
"A170","MENINGITIS TUBERCULOSA (G01*)","A","228","599","2"
"A171","TUBERCULOMA MENINGEO (G07*)","A","228","599","2"
"A178","OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO","A","228","599","2"
"A179","TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)","A","228","599","2"
"A180","TUBERCULOSIS DE HUESOS Y ARTICULACIONES","A","228","599","2"
"A181","TUBERCULOSIS DEL APARATO GENITOURINARIO","A","228","599","2"
"A182","LINFADENOPATIA PERIFERICA TUBERCULOSA","A","228","599","2"
"A183","TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS","A","228","599","2"
"A184","TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO","A","0","0","2"
"A185","TUBERCULOSIS DEL OJO","A","228","599","2"
"A186","TUBERCULOSIS DEL OIDO","A","228","599","2"
"A187","TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*)","A","228","599","2"
"A188","TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS","A","228","599","2"
"A190","TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO","A","228","599","2"
"A191","TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES","A","228","599","2"
"A192","TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA","A","228","599","2"
"A198","OTRAS TUBERCULOSIS MILIARES","A","228","599","2"
"A199","TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION","A","228","599","2"
"A200","PESTE BUBONICA","A","0","0","3"
"A201","PESTE CELULOCUTANEA","A","0","0","3"
"A202","PESTE NEUMONICA","A","0","0","3"
"A203","MENINGITIS POR PESTE","A","0","0","3"
"A207","PESTE SEPTICEMICA","A","0","0","3"
"A208","OTRAS FORMAS DE PESTE","A","0","0","3"
"A209","PESTE, NO ESPECIFICADA","A","0","0","3"
"A210","TULAREMIA ULCEROGLANDULAR","A","0","0","6"
"A211","TULAREMIA OCULOGLANDULAR","A","0","0","6"
"A212","TULAREMIA PULMONAR","A","0","0","6"
"A213","TULAREMIA GASTROINTESTINAL","A","0","0","6"
"A217","TULAREMIA GENERALIZADA","A","0","0","6"
"A218","OTRAS FORMAS DE TULAREMIA","A","0","0","6"
"A219","TULAREMIA , NO ESPECIFICADA","A","0","0","6"
"A220","CARBUNCO CUTANEO","A","0","0","6"
"A221","CARBUNCO PULMONAR","A","0","0","6"
"A222","CARBUNCO GASTROINTESTINAL","A","0","0","6"
"A227","CARBUNCO SEPTICEMICO","A","0","0","6"
"A228","OTRAS FORMAS DE CARBUNCO","A","0","0","6"
"A229","CARBUNCO, NO ESPECIFICADO","A","0","0","6"
"A230","BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS","A","0","0","6"
"A231","BRUCELOSIS DEBIDA A BRUCELLA ABORTUS","A","0","0","6"
"A232","BRUCELOSIS DEBIDA A BRUCELLA SUIS","A","0","0","6"
"A233","BRUCELOSIS DEBIDA A BRUCELLA CANIS","A","0","0","6"
"A238","OTRAS BRUCELOSIS","A","0","0","6"
"A239","BRUCELOSIS, NO ESPECIFICADA","A","0","0","6"
"A240","MUERMO","A","0","0","6"
"A241","MELIOIDOSIS AGUDA Y FULMINANTE","A","0","0","6"
"A242","MELIOIDOSIS SUBAGUDA Y CRONICA","A","0","0","6"
"A243","OTRAS MELIOIDOSIS","A","0","0","6"
"A244","MELIOIDOSIS , NO ESPECIFICADA","A","0","0","6"
"A250","ESPIRILOSIS","A","0","0","6"
"A251","ESTREPTOBACILOSIS","A","0","0","6"
"A259","FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA","A","0","0","6"
"A260","ERISIPELOIDE CUTANEO","A","0","0","6"
"A267","SEPTICEMIA POR ERYSIPELOTHRIX","A","0","0","6"
"A268","OTRAS FORMAS DE ERISIPELOIDE","A","0","0","6"
"A269","ERISIPELOIDE, NO ESPECIFICADA","A","0","0","6"
"A270","LEPTOSPIROSIS ICTEROHEMORRAGICA","A","0","0","6"
"A278","OTRAS FORMAS DE LEPTOSPIROSIS","A","0","0","6"
"A279","LEPTOSPIROSIS, NO ESPECIFICADA","A","0","0","6"
"A280","PASTEURELOSIS","A","0","0","6"
"A281","ENFERMEDAD POR RASGU?O DE GATO","A","0","0","6"
"A282","YERSINIOSIS EXTRAINTESTINAL","A","0","0","6"
"A288","OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE","A","0","0","6"
"A289","ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION","A","0","0","6"
"A300","LEPRA INDETERMINADA","A","402","599","6"
"A301","LEPRA TUBERCULOIDE","A","402","599","6"
"A302","LEPRA TUBERCULOIDE LIMITROFE","A","402","599","6"
"A303","LEPRA LIMITROFE","A","402","599","6"
"A304","LEPRA LEPROMATOSA LIMITROFE","A","402","599","6"
"A305","LEPRA LEPROMATOSA","A","402","599","6"
"A308","OTRAS FORMAS DE LEPRA","A","402","599","6"
"A309","LEPRA, NO ESPECIFICADA","A","402","599","6"
"A310","INFECCIONES POR MICOBACTERIAS PULMONARES","A","0","0","6"
"A311","INFECCION CUTANEA POR MICOBACTERIAS","A","0","0","6"
"A318","OTRAS INFECCIONES POR MICOBACTERIAS","A","0","0","6"
"A319","INFECCION POR MICOBACTERIA, NO ESPECIFICADA","A","0","0","6"
"A320","LISTERIOSIS CUTANEA","A","0","0","6"
"A321","MENINGITIS Y MENINGOENCEFALITIS LISTERIANA","A","0","0","6"
"A327","SEPTICEMIA LISTERIANA","A","0","0","6"
"A328","OTRAS FORMAS DE LISTERIOSIS","A","0","0","6"
"A329","LISTERIOSIS, NO ESPECIFICADA","A","0","0","6"
"A33X","TETANOS NEONATAL","A","0","227","4"
"A34X","TETANOS OBSTETRICO","F","410","454","4"
"A35X","OTROS TETANOS","A","228","599","4"
"A360","DIFTERIA FARINGEA","A","0","0","4"
"A361","DIFTERIA NASOFARINGEA","A","0","0","4"
"A362","DIFTERIA LARINGEA","A","0","0","4"
"A363","DIFTERIA CUTANEA","A","0","0","4"
"A368","OTRAS DIFTERIAS","A","0","0","4"
"A369","DIFTERIA, NO ESPECIFICADA","A","0","0","4"
"A370","TOS FERINA DEBIDA A BORDETELLA PERTUSSIS","A","0","0","4"
"A371","TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS","A","0","0","4"
"A378","TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA","A","0","0","4"
"A379","TOS FERINA, NO ESPECIFICADA","A","0","0","4"
"A38X","ESCARLATINA","A","0","0","6"
"A390","MENINGITIS MENINGOCOCICA (G01*)","A","0","0","6"
"A391","SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*)","A","0","0","6"
"A392","MENINGOCOCEMIA AGUDA","A","0","0","6"
"A393","MENINGOCOCEMIA CRONICA","A","0","0","6"
"A394","MENINGOCOCEMIA, NO ESPECIFICADA","A","0","0","6"
"A395","ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO","A","0","0","6"
"A398","OTRAS INFECCIONES MENINGOCOCICAS","A","0","0","6"
"A399","INFECCION MENINGOCOCICA, NO ESPECIFICADA","A","0","0","6"
"A400","SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A","A","228","599","5"
"A401","SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B","A","228","599","5"
"A402","SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D","A","228","599","5"
"A403","SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE","A","228","599","5"
"A408","OTRAS SEPTICEMIAS ESTREPTOCOCICAS","A","228","599","5"
"A409","SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA","A","228","599","5"
"A410","SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS","A","228","599","5"
"A411","SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO","A","228","599","5"
"A412","SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO","A","228","599","5"
"A413","SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE","A","228","599","5"
"A414","SEPTICEMIA DEBIDA A ANAEROBIOS","A","228","599","5"
"A415","SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS","A","228","599","5"
"A418","OTRAS SEPTICEMIAS ESPECIFICADAS","A","228","599","5"
"A419","SEPTICEMIA, NO ESPECIFICADA","A","228","599","5"
"A420","ACTINOMICOSIS PULMONAR","A","0","0","6"
"A421","ACTINOMICOSIS ABDOMINAL","A","0","0","6"
"A422","ACTINOMICOSIS CERVICOFACIAL","A","0","0","6"
"A427","SEPTICEMIA ACTINOMICOTICA","A","0","0","6"
"A428","OTRAS FORMAS DE ACTINOMICOSIS","A","0","0","6"
"A429","ACTINOMICOSIS, SIN OTRA ESPECIFICACION","A","0","0","6"
"A430","NOCARDIOSIS PULMONAR","A","0","0","6"
"A431","NOCARDIOSIS CUTANEA","A","0","0","6"
"A438","OTRAS FORMAS DE NOCARDIOSIS","A","0","0","6"
"A439","NORCARDIOSIS , NO ESPECIFICADA","A","0","0","6"
"A440","BARTONELOSIS SISTEMICA","A","0","0","3"
"A441","BARTONELOSIS CUTANEA Y MUCOCUTANEA","A","0","0","3"
"A448","OTRAS FORMAS DE BARTONELOSIS","A","0","0","3"
"A449","BARTONELOSIS, NO ESPECIFICADA","A","0","0","3"
"A46X","ERISIPELA","A","0","0","6"
"A480","GANGRENA GASEOSA","A","0","0","6"
"A481","ENFERMEDAD DE LOS LEGIONARIOS","A","0","0","6"
"A482","ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC]","A","0","0","6"
"A483","SINDROME DE CHOQUE TOXICO","A","0","0","6"
"A484","FIEBRE PURPURICA BRASILE?A","A","0","0","6"
"A488","OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS","A","0","0","6"
"A490","INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACI","A","0","0","6"
"A491","INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION","A","0","0","6"
"A492","INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION","A","0","0","6"
"A493","INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION","A","0","0","6"
"A498","OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO","A","0","0","6"
"A499","INFECCION BACTERIANA, NO ESPECIFICADA","A","0","0","6"
"A500","SIFILIS CONGENITA PRECOZ, SINTOMATICA","A","0","402","7"
"A501","SIFILIS CONGENITA PRECOZ, LATENTE","A","0","402","7"
"A502","SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACI","A","0","402","7"
"A503","OCULOPATIA SIFILITICA CONGENITA TARDIA","A","402","599","7"
"A504","NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL]","A","402","599","7"
"A505","OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA","A","402","599","7"
"A506","SIFILIS CONGENITA TARDIA, LATENTE","A","402","599","7"
"A507","SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION","A","402","599","7"
"A509","SIFILIS CONGENITA, SIN OTRA ESPECIFICACI","A","0","0","7"
"A510","SIFILIS GENITAL PRIMARIA","A","0","0","7"
"A511","SIFILIS PRIMARIA ANAL","A","0","0","7"
"A512","SIFILIS PRIMARIA EN OTROS SITIOS","A","0","0","7"
"A513","SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS","A","402","599","7"
"A514","OTRAS SIFILIS SECUNDARIAS","A","402","599","7"
"A515","SIFILIS PRECOZ, LATENTE","A","402","599","7"
"A519","SIFILIS PRECOZ, SIN OTRA ESPECIFICACI","A","402","599","7"
"A520","SIFILIS CARDIOVASCULAR","A","402","599","7"
"A521","NEUROSIFILIS SINTOMATICA","A","402","599","7"
"A522","NEUROSIFILIS ASINTOMATICA","A","402","599","7"
"A523","NEUROSIFILIS NO ESPECIFICADA","A","402","599","7"
"A527","OTRAS SIFILIS TARDIAS SINTOMATICAS","A","402","599","7"
"A528","SIFILIS TARDIA, LATENTE","A","402","599","7"
"A529","SIFILIS TARDIA, NO ESPECIFICADA","A","402","599","7"
"A530","SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA","A","402","599","7"
"A539","SIFILIS, NO ESPECIFICADA","A","402","599","7"
"A540","INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA","A","0","0","7"
"A541","INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS","A","0","0","7"
"A542","PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS","A","0","0","7"
"A543","INFECCION GONOCOCICA DEL OJO","A","0","0","7"
"A544","INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR","A","0","0","7"
"A545","FARINGITIS GONOCOCICA","A","0","0","7"
"A546","INFECCION GONOCOCICA DEL ANO Y DEL RECTO","A","0","0","7"
"A548","OTRAS INFECCIONES GONOCOCICAS","A","0","0","7"
"A549","INFECCION, GONOCOCICA, NO ESPECIFICADA","A","0","0","7"
"A55X","LINFOGRANULOMA (VENEREO) POR CLAMIDIAS","A","0","0","7"
"A560","INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS","A","0","0","7"
"A561","INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS","A","0","0","7"
"A562","INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION","A","0","0","7"
"A563","INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS","A","0","0","7"
"A564","INFECCION DE FARINGE DEBIDA A CLAMIDIAS","A","0","0","7"
"A568","INFECCION DE TRANSMISI?N SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS","A","0","0","7"
"A57X","CHANCRO BLANDO","A","0","0","7"
"A58X","GRANULOMA INGUINAL","A","0","0","7"
"A590","TRICOMONIASIS UROGENITAL","A","0","0","7"
"A598","TRICOMONIASIS DE OTROS SITIOS","A","0","0","7"
"A599","TRICOMONIASIS, NO ESPECIFICADA","A","0","0","7"
"A600","INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]","A","0","0","7"
"A601","INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE","A","0","0","7"
"A609","INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION","A","0","0","7"
"A630","VERRUGAS (VENEREAS) ANOGENITALES","A","0","0","7"
"A638","OTRAS ENFERMEDADES DE TRANSMISI?N PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS","A","0","0","7"
"A64X","ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA","A","0","0","7"
"A65X","SIFILIS NO VENEREA","A","0","0","10"
"A660","LESIONES INICIALES DE FRAMBESIA","A","0","0","10"
"A661","LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO","A","0","0","10"
"A662","OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA","A","0","0","10"
"A663","HIPERQUERATOSIS DE FRAMBESIA","A","0","0","10"
"A664","GOMA Y ULCERAS DE FRAMBESIA","A","0","0","10"
"A665","GANGOSA","A","0","0","10"
"A666","LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES","A","0","0","10"
"A667","OTRAS MANIFESTACIONES DE FRAMBESIA","A","0","0","10"
"A668","FRAMBESIA LATENTE","A","0","0","10"
"A669","FRAMBESIA , NO ESPECIFICADA","A","0","0","10"
"A670","LESIONES PRIMARIAS DE LA PINTA","A","0","0","10"
"A671","LESIONES INTERMEDIAS DE LA PINTA","A","0","0","10"
"A672","LESIONES TARDIAS DE LA PINTA","A","0","0","10"
"A673","LESIONES MIXTAS DE LA PINTA","A","0","0","10"
"A679","PINTA, NO ESPECIFICADA","A","0","0","10"
"A680","FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS","A","0","0","10"
"A681","FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS","A","0","0","10"
"A689","FIEBRE RECURRENTE, NO ESPECIFICADA","A","0","0","10"
"A690","ESTOMATITIS ULCERATIVA NECROTIZANTE","A","0","0","10"
"A691","OTRAS INFECCIONES DE VICENT","A","0","0","10"
"A692","ENFERMEDAD DE LYME","A","0","0","10"
"A698","OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS","A","0","0","10"
"A699","INFECCION POR ESPIROQUETA, NO ESPECIFICADA","A","0","0","10"
"A70X","INFECCION DEBIDA A CHLAMYDIA PSITTACI","A","0","0","10"
"A710","ESTADO INICIAL DE TRACOMA","A","0","0","10"
"A711","ESTADO ACTIVO DE TRACOMA","A","0","0","10"
"A719","TRACOMA, NO ESPECIFICADO","A","0","0","10"
"A740","CONJUNTIVITIS POR CLAMIDIAS (H13.1*)","A","0","0","10"
"A748","OTRAS ENFERMEDADES POR CLAMIDIAS","A","0","0","10"
"A749","INFECCION POR CLAMIDIAS, NO ESPECIFICADA","A","0","0","10"
"A750","TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS","A","0","0","3"
"A751","TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL]","A","0","0","3"
"A752","TIFUS DEBIDO A RICKETTSIA TYPHI","A","0","0","3"
"A753","TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI","A","0","0","3"
"A759","TIFUS, NO ESPECIFICADO","A","0","0","3"
"A770","FIEBRE MACULOSA DEBIDO A RICKETTSIA RICKETTSII","A","0","0","3"
"A771","FIEBRE MACULOSA DEBIDO A RICKETTSIA CONORII","A","0","0","3"
"A772","FIEBRE MACULOSA DEBIDO A RICKETTSIA SIBERICA","A","0","0","3"
"A773","FIEBRE MACULOSA DEBIDO A RICKETTSIA AUSTRALIS","A","0","0","3"
"A778","OTRAS FIEBRES MACULOSAS","A","0","0","3"
"A779","FIEBRE MACULOSA, NO ESPECIFICADA","A","0","0","3"
"A78X","FIEBRE Q","A","0","0","3"
"A790","FIEBRE DE LAS TRINCHERAS","A","0","0","3"
"A791","RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI","A","0","0","3"
"A798","OTRAS RICKETTSIOSIS ESPECIFICADAS","A","0","0","3"
"A799","RICKETTSIOSIS, NO ESPECIFICADA","A","0","0","3"
"A800","POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA","A","0","0","4"
"A801","POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO","A","0","0","4"
"A802","POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO","A","0","0","4"
"A803","OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y NO LAS ESPECIFICADAS","A","0","0","4"
"A804","POLIOMIELITIS AGUDA NO PARALITICA","A","0","0","4"
"A809","POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACI","A","0","0","4"
"A810","ENFERMEDAD DE CREUTZFELDT-JAKOB","A","0","0","10"
"A811","PANENCEFALITIS ESCLEROSANTE SUBAGUDA","A","0","0","10"
"A812","LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA","A","0","0","10"
"A818","OTRAS INFECCIONES DEL SISTEMA NERVIOSO POR VIRUS ATIPICO","A","0","0","10"
